jianjie,name
"
内容简介
李商隐是晚唐著名的诗人，与杜牧并称“小李杜”。他的诗歌尤其是《无题》诗在秾艳绮丽的外衣内，包裹着愤懑凄苦的内核，因此最为人所传诵。当晚唐诗歌在前辈的光芒照耀下日渐式微时，李商隐却又将唐诗...",《李商隐诗集 (国学典藏)》[唐]李商隐（作者）epub+mobi+azw3
"
内容简介
每个女人都想拥有一件值得永远珍藏的衣裳,一份真挚的感情,实现一个梦想。

菲比的梦想是开一家精美的古董衣店,让每件美丽的衣裳在岁月浸染之后依然熠熠生辉。当她把“古董衣部落”开在美丽的伦敦街头...",《古董衣情缘》[英]伊莎贝尔·沃尔夫（作者）epub+mobi+azw3
"
内容简介
中国服饰历史悠久，不仅是中华民族智慧的体现，更是我们了解古代生活的一把钥匙。

《中国服饰鉴赏》以历史顺序为脉络，细致刻画了原始社会、夏、商、周、秦、汉、魏、晋、隋、唐、宋、元、明、清...",《中国服饰鉴赏》艺术研究中心（作者）epub+azw3
"
编辑推荐
★117张旅行随拍，与你分享一路异国精彩
★6段旅游视频藏于书中，扫二维码立刻动态呈现
★高颜值精心排版设计，只想让阅读变成一种美的享受
★精选高品质纸张，不辜负每一次翻阅的指尖触感

因为不...",《不顾一切去旅行》陈美琪（作者）epub+mobi+azw3
"
内容简介
《指匠》作品曾被BBC改编为著名英剧《指匠情挑》。讲述了在伦敦郊区的一个大庄园内，居住着李先生和他的外甥女莫德，李先生性格乖戾，驱使莫德终日在图书室里整理和朗读藏书。可怜的姑娘从小到大都未...",《指匠（精制）》[英]萨拉·沃特斯（作者）epub+mobi
"
内容简介
一桩桩耸人听闻的离奇血案，一具具冰冷沉默的尸体，究竟隐藏着怎样的罪恶与秘密? 一个冷静睿智的女法医，一位经验丰富的刑侦队长，面对一纸法医鉴定，一件件一层层剖开尸体背后的血腥、暴力与恐怖，...",《让死者闭眼》刘真（作者）epub+mobi+azw3
"
内容简介
本书是“一期一会”书系的一本。从饮食文化的角度切入，趣谈中日文化的差异。从“海洋文化”到“大陆文化”，由“吃”及“文”，从餐桌上追溯两国语言文字的源流，再从这一源流回归生活日常的文化百态，从而展...",《鲷与羊》莫邦富（作者）epub+mobi+azw3
"
内容简介
契丹王朝政治军事制度内涵复杂而特殊。本书以契丹王朝的斡鲁朵制度为中心，剖析史料，考辨史实，澄清了契丹王朝军政制度方面许多混乱、模糊的问题。对以往研究中久悬不决的某些根本性问题，提出了自...",《契丹王朝政治军事制度研究（精制精排）》杨若薇（作者）epub+mobi
"
内容简介
一群溃兵聚集在西南小镇禅达的收容所里，他们毫无斗志，只想苟且偷生。

师长虞啸卿重建川军团，将他们招募旗下，但真正燃起这群人斗志的是嬉笑怒骂、不惜坑蒙拐骗的龙文章。龙文章让他们知道活人...",《我的团长我的团（精制多看版）》兰晓龙（作者）epub
"
内容简介
位列美国现代文库20世纪百佳英语小说第46位

9’11之后被美国媒体引述最多的恐怖主义主题小说之一

被列入美国中学生和大学本科生阅读书目

康拉德最好的小说之一，预言了20世纪恐怖主义、无政...",《间谍》[英]约瑟夫·康拉德（作者）epub+mobi+azw3
"
内容简介
《天下无贼》作者赵本夫最新长篇小说！

以鬼神之笔书写一段瑰丽的乡野传奇！

天漏邑，世间流传着各种说法。一说是远古遗民部落，一说为舒鸠国都城，一说是历朝囚徒流放地——罪恶的渊薮，抑或自...",《天漏邑》赵本夫（作者）epub+mobi+azw3
"
内容简介
“垂裳听风，彼山淌翠。游墨恍若悉池语，引云慵慵布千煌”。国风人气画师VIKI_LEE将多年作品首度集结成册，名曰“洛煌笈”。这是一本忠于国风，忠于东方的画集。VIKI_LEE用国内少见的绘画方法，诠释了风...",《洛煌笈》VIKI_LEE（作者）epub+azw3
"
套装书目
《普通读者》
《心怀野念》
分册简介
《心怀野念》一书讲到日常生活里有一种慢性毒素，中了这种毒的人会渐渐对一切失去渴望，他们机械地生活，内心麻木，没有任何激情与冲动；对一切事物懒于关注...",《读书若有邻（套装共2册）》西闪 等（作者）epub+mobi+azw3
"
内容简介
《中国人的教训》是中国知名作家李国文专心于大众历史写作近三十年，在中国人血与火的往事中，找寻我们今天生活智慧的标志作。它以中国历代各类人物的生存状况、人生态度、命运遭际、成败得失为依托...",《中国人的教训(套装共2册)》李国文（作者）epub+mobi+azw3
"
内容简介
2015年，从纽约飞往伦敦的305次航班突然在经历颠簸后在伦敦郊区坠机，仅少部分人生还。飞机上的风险投资人尼克和作家哈珀站出来组织幸存者们自救。原本以为只是普通的空难，飞机坠毁后却发生了很多离...",《逃离2147》[美]A.G.里德尔（作者）epub+mobi+azw3
